Candidate,Party,Votes
DEEPENDER SINGH HOODA,Indian National Congress,490063
OM PARKASH DHANKAR,Bharatiya Janata Party,319436
SHAMSHER SINGH KHARKARA,Indian National Lok Dal,151120
NAVEEN JAIHIND,Aam Aadmi Party,46759
MANOJ KUMAR,Bahujan Samaj Party,18690
VISHNU DUTT,Independent,3151
JAI KARAN MANDAUTHI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2497
SATPAL,Independent,2449
SAJJAN SINGH,Independent,2032
SUNIL KUMAR,All India Trinamool Congress,947
ANIL,Rashtriya Bahujan Hitay Party,829
JAI SINGH,Independent,614
RAVINDER KUMAR,Indian Bahujan Sandesh Party (Kanshiram),418
KARAN SINGH,Independent,394
None of the Above,None of the Above,4932
