Candidate,Party,Votes
SENTHILNATHAN PR,All India Anna Dravida Munnetra Kazhagam,475993
DHURAI RAAJ SUBHA,Dravida Munnetra Kazhagam,246608
RAJA H,Bharatiya Janata Party,133763
KARTI P CHIDAMBARAM,Indian National Congress,104678
KRISHNAN S,Communist Party of India,20473
RAJASEKAR.S @ S.R.THEVAR,Desiya Forward Bloc,4029
RAKKAMUTHU V,Bahujan Samaj Party,3056
VELLADHURAI A,Ezhuchi Tamilargal Munnetra Kazhagam,3023
ARIMAZHAM THIYAGI SUBRAMANIAN MUTHURAJA M,Independent,3021
NELSON A,Independent,2987
BALU S,Tamil Nadu Makkal Congress,2196
THAMILARIMA S,Aam Aadmi Party,2131
SARAVANAN M,Independent,2100
SELVARAJ A,Independent,2050
PALANI S,Independent,1699
KALAIMANI K,Makkal Manadu Katchi,1438
RAJA A,Independent,1337
GUNASEKARAN P,Independent,1269
SIVAGNANAM AL,Independent,1007
BALAKRISHNAN P,Independent,949
KARTHIKARAJAN T,Independent,873
PERIYAKARUPPAN S,Independent,837
NATCHIAPPAN SP,Independent,794
LENIN M,Independent,741
MURUGAN P,Independent,736
RADHAKRISHNAN A,Independent,641
MEGARAJ MALLAR,Independent,565
None of the Above,None of the Above,8042
