Candidate,Party,Votes
TARIQ HAMEED KARRA,Jammu & Kashmir Peoples Democratic Party,157923
FAROOQ ABDULLAH,Jammu & Kashmir National Conference,115643
AGA SYED MOHSIN,Independent,16050
FAYAZ AHMAD BHAT,Bharatiya Janata Party,4467
DR RAJA MUZAFFAR BHAT,Aam Aadmi Party,3271
MIRZA SAJAD HUSSAIN BEIGH,Independent,2802
ABDUL RASHID TANTRAY,Independent,1668
BASHIR MOHD RESHI,Independent,1215
MOHAMMAD SHAFI GUROO,Independent,1157
RABIA ALTAF,Independent,864
CHETAN SHARMA,Independent,608
MOHAMMAD MAQBOOL MALIK,Jammu & Kashmir National Panthers Party,583
MUSHTAQ SHAMIM,Akhil Bharatiya Muslim League (Secular),521
RIYAZ AHMAD WANI,Independent,461
None of the Above,None of the Above,4979
