Candidate,Party,Votes
RAJESH PANDEY URF GUDDU,Bharatiya Janata Party,370051
KUNWAR RATANJIT PRATAP NARAIN SINGH,Indian National Congress,284511
DR. SANGAM MISHRA,Bahujan Samaj Party,132881
RADHE SHYAM SINGH,Samajwadi Party,111256
KASHEEM ALI,Peace Party,9024
RAMDHANEE,Deshbhakt Nirman Party,5485
RAMPRATAP,Janata Dal (United),4805
MARKANDE,Bahujan Mukti Party,4270
AMEERUDDIN,Apna Dal United Party,3843
AKHAND,Aam Aadmi Party,3802
ARVIND,Swaraj (J),3630
JAHID,Suheldev Bhartiya Samaj Party,2677
BACHCHOOLAAL,Most Backward Classes Of India,2145
GOBARDHAN PRASAD,Socialist Party (India),1963
None of the Above,None of the Above,10102
