Candidate,Party,Votes
OM PRAKASH YADAV,Bharatiya Janata Party,372670
HENA SHAHAB,Rashtriya Janata Dal,258823
AMAR NATH YADAV,Communist Party of India (Marxist-Leninist) (Liberation),81006
MANOJ KUMAR SINGH,Janata Dal (United),79239
GANESH RAM,Bahujan Samaj Party,14584
RAM BINAY RAY,Bharatiya Ekta Dal,11757
SATYA PRAKASH PANDEY,Aam Aadmi Party,10542
KHALIL MIYA,Gondvana Gantantra Party,9580
RANJAN KUMAR,Bharat Vikas Morcha,8851
PARMESHWAR MANJHI,Bahujan Mukti Party,5683
PARAMANAND GOND,Swatantra Samaj Party,4016
NARAD PNDIT,Jai Prakash Janata Dal,3250
NAGENDRA TIWARI,Loktantrik Janata Party (Secular),2611
None of the Above,None of the Above,21409
