Candidate,Party,Votes
AJAY NISHAD,Bharatiya Janata Party,469295
AKHILESH PD SINGH,Indian National Congress,246873
VIJENDRA CHAUDHARY,Janata Dal (United),85140
ASHOK KUMAR JHA,Shivsena,19945
RAGHVENDRA PRATAP SINGH,Rajnaitik Vikalp Party,13283
NAGESHWAR PRASAD SINGH,Independent,9202
RAJEEV RANJAN,Bahujan Samaj Party,9069
SHATRUDHAN SAHNI,Communist Party of India (Marxist-Leninist) (Liberation),8223
MAHESH RAI,Bahujan Mukti Party,7978
AKSHAY VERMA,Sarvajan Kalyan Loktantrik Party,7569
PRABHAT SUMAN,Aam Aadmi Party,6945
RAJESH KUMAR,All India Forward Bloc,6118
SURESH KUMAR,Independent,5211
MADHUR SHEEL,Jai Maha Bharath Party,4309
SHRAVAN KUMAR JHA,Independent,3746
ASHOK KUMAR SINGH,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),3734
PANKAJ KUMAR SRIVASTAVA,Jai Prakash Janata Dal,3365
RAVI SHANKAR PASWAN,Independent,3334
KAMLESH CHOUDHARY,Independent,3147
AJITANSH GAUR,Independent,2755
KUNAL PRIYADARSHI,Rashtriya Krantikari Samajwadi Party,2471
RUPESH KUMAR KUAR,Independent,2370
NAVAL KISHORE JHA,Samajwadi Janata Party (Rashtriya),2364
MOHAMMAD ANWARUL HAQUE,Independent,2354
DEVENDRA RAKESH,Bajjikanchal Vikas Party,2299
NILU SINGH,Proutist Bloc. India,2271
MOHMMAD TAIYAB,Independent,2269
DEEPAK KUMAR,Independent,1809
MAHESH PASWAN,Independent,1749
None of the Above,None of the Above,9690
