Candidate,Party,Votes
VENKATESH BABU .T.G,All India Anna Dravida Munnetra Kazhagam,406704
GIRIRAJAN .R,Dravida Munnetra Kazhagam,307000
SOUNDARAPANDIAN .M,Desiya Murpokku Dravida Kazhagam,86989
BIJU CHACKO,Indian National Congress,24190
VASUKI .U,Communist Party of India (Marxist),23751
NIJAM MOHAIDEEN .M,SOCIAL DEMOCRATIC PARTY OF INDIA,14585
SRINIVASON .S,Aam Aadmi Party,6819
JANARTHANAN .J,Bahujan Samaj Party,4960
PAUL KANAGARAJ. R.C,Independent,1589
KOLANGI. M,Independent,1494
KESAVAN. L,Independent,1198
VIJAYA KUMAR .K,Tamil Nadu Makkal Congress,1145
SRINIVASAN. J,Independent,964
SUNDAR. G,Independent,870
MARIMUTHU. P,Independent,777
SIVASHANMUGA PERUMAL. S,Independent,712
RAVI PARIYANAR. D,Independent,600
BABU MAILAN .A,Lok Satta Party,569
MARIRAJ. T.R,Independent,559
SIVAKUMAR . V,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),502
CHARAVANAN. M.P.,Independent,475
DEEPAK. C,Independent,475
SENTHIL KUMAR. K,Independent,472
SEETHA MALLAR. A,Independent,469
PRABHAKARAN. K,Independent,457
GIRIRAJ. D,Independent,414
PAULRAJ .T,Makkal Manadu Katchi,387
DEVARAJ. G,Independent,386
MAHENDRAN. K.P.P.,Independent,343
RAJA. B,Independent,337
BALAJI. E,Independent,311
MOHAMED MAJASUDDIN,Independent,302
DURAI BABU. R,Independent,297
RAMESH KANNAN .G,Republican Party of India,257
RAMASAMY. M.D.,Independent,234
RAJ. N,Independent,216
RAVIKUMAR. T,Independent,211
PONRAJ. P,Independent,208
ANBAZHAGAN .G,Independent,208
YOGARAJ. S,Independent,206
None of the Above,None of the Above,17472
