Candidate,Party,Votes
RAVINDRA KUMAR PANDEY,Bharatiya Janata Party,391913
JAGARNATH MAHTO,Jharkhand Mukti Morcha,351600
SABA AHMAD,Jharkhand Vikas Morcha (Prajatantrik),57380
UMESH CHANDRA MEHTA,AJSU Party,55531
JALESHWAR MAHATO,Janata Dal (United),40010
SANJEEV KUMAR MAHATO,Independent,13132
ASHUTOSH VERMA,All India Trinamool Congress,11355
GURJEET SINGH,Aam Aadmi Party,7071
DILIP KR RAJAK,Independent,6406
KARTIK MAHTO,Bahujan Samaj Party,6341
SOHRAB SHAH,Bahujan Mukti Party,5072
BIDESHI MAHTO,Jharkhand Disom Party,4325
SHIVA MAHTO,Independent,3660
SAJJADUR RAB HASAMI,Independent,3512
SANJEEV KUMAR SINHA,All India Forward Bloc,2988
JEETENDRA KUMAR,Samajwadi Party,2825
MRINAL KANTI DEV,Socialist Party (Lohia),1997
None of the Above,None of the Above,4879
