Candidate,Party,Votes
CHAUDHARY HARIBHAI PARTHIBHAI,Bharatiya Janata Party,507856
PATEL JOITABHAI KASNABHAI,Indian National Congress,305522
MAHANT PARSOTAMGIRI TURANTGIRI,Bahujan Samaj Party,11175
BABAJI THAKOR,Independent,10897
SOLANKI SAYBABHAI NANABHAI,Independent,7207
SANJAYKUMAR SOMNATHBHAI RAVAL,Aam Aadmi Party,6571
SOLANKI DINESHKUMAR ALJIBHAI,Independent,5388
MAHENDRABHAI KESARABHAI BUMBADIA,Independent,3302
SHRIMALI ASHOKBHAI BALCHNDBHAI,Independent,2535
DABHI NAVAJIBHAI MADHABHAI,Independent,2118
MADHU NIRUPABEN NATVARLAL,Independent,2064
CHOUDHARY ADAMBHAI NASIRBHAI,Samajwadi Party,2007
THAKOR BHUPATAJI RAVAJI,Independent,1770
GAMAR VADHABHAI RADHABHAI,Independent,825
None of the Above,None of the Above,17397
