Candidate,Party,Votes
JANAK RAM,Bharatiya Janata Party,478773
DR. JYOTI BHARTI,Indian National Congress,191837
ANIL KUMAR,Janata Dal (United),100419
CHANDRADIP RAM,Bahujan Samaj Party,16751
SURENDRA RAM,Bharatiya Ekta Dal,16680
RAM KUMAR MANJHI,Independent,14162
DINANATH MANJHI,Independent,13983
JITENDRA MANJHI,Communist Party of India (Marxist-Leninist) (Liberation),12423
SATEYNDRA BAITHA,Independent,9509
MUDRIKA BAITHA,Independent,8491
RAMASHANKAR RAM,Rashtriya Jan-Jagram Morcha,7147
JALESHWAR NATH RAM,Bahujan Mukti Party,6264
SURENDRA PASWAN,Rashtriya Bahujan Congress Party,4717
SUNITA KUMAR,Samajwadi Party,4586
None of the Above,None of the Above,17841
