Candidate,Party,Votes
KONAKALLA NARAYANA RAO,Telugu Desam,587280
KOLUSU PARTHA SARATHY,Yuvajana Sramika Rythu Congress Party,506223
SISTLA RAMESH,Indian National Congress,14111
KAMMILI SRINIVAS,Jai Samaikyandhra Party,7692
VADAPALLI RAGHUNADH,Pyramid Party of India,4401
PRASADA RAO PEGGEM,Bahujan Samaj Party,4085
PARASA SRINIVASA RAO,Independent,3399
MOHAMMAD ISHAQ,Independent,1770
YUNDURI SUBRAMANYASWARA RAO (MANI),Independent,1597
YARLAGADDA RAMA MOHAN RAO,Independent,1405
JAMPANA SRINIVASA GOUD,Independent,931
None of the Above,None of the Above,8171
