Candidate,Party,Votes
ASHOK KUMAR.K,All India Anna Dravida Munnetra Kazhagam,480491
CHINNA PILLAPPA.P,Dravida Munnetra Kazhagam,273900
MANI.G.K,Pattali Makkal Katchi,224963
CHELLAKUMAR. DR. A,Indian National Congress,38885
CHANBASHA.M,Bahujan Samaj Party,8618
ASHOK KUMAR.A,Independent,3875
SUNDARAM.S,United Communist Party of India,3665
GOWDA.NSM,Janata Dal (Secular),3033
SARAVANAN.V,Independent,2737
VIRGINIYA BENATIN FRANCILES,Independent,2530
VINOTHKUMAR.P,Independent,2261
MUNIRAJ.K,Ulzaipali Makkal Katchy,2135
PATTABIRAMA.C,Independent,2015
SOUNDARAJAN.M,Independent,1744
GANDHI.TVS,Independent,1519
None of the Above,None of the Above,16020
