Candidate,Party,Votes
BHARAT SINGH,Bharatiya Janata Party,359758
NEERAJ SHEKHAR,Samajwadi Party,220324
AFZAL ANSARI,Qaumi Ekta Dal,163943
VIRENDRA KUMAR PATHAK,Bahujan Samaj Party,141684
SUDHA RAI,Indian National Congress,13501
MANOJ,Independent,6833
RAMROOP,Jai Hind Samaj Party,6435
MANISH,Independent,6166
SHESHNATH,Independent,3674
COL(RETD) BHARAT SINGH SHAURYA CHAKRA,Aam Aadmi Party,3297
BHOLA NATH,Independent,2815
AVADHESH VERMA,Bahujan Mukti Party,2529
SUCHIT GOND,Gondvana Gantantra Party,2506
RAMJI,Bharatiya Samaj Dal,1096
MANNU YADAV,Naitik Party,980
None of the Above,None of the Above,6670
