Candidate,Party,Votes
SREEMATI DEV VARMA (MOON MOON SEN),All India Trinamool Congress,483455
ACHARIA BASUDEB,Communist Party of India (Marxist),384949
SUBHAS KUMAR SARKAR,Bharatiya Janata Party,251183
NILMADHAB GUPTA,Indian National Congress,22021
PARESH MARANDI,Jharkhand Mukti Morcha,10229
KABITA SINGHABABU,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),9125
SHYAMAL SIKDAR,Independent,9045
SUDHIR KUMAR MURMU,Communist Party of India (Marxist-Leninist) (Liberation),7579
HULU KHETRAPAL,Bahujan Mukti Party,7564
BINOY CHOWDHURY,Bahujan Samaj Party,7388
BANERJEE PRABIR,Jharkhand Anushilan Party,6209
PANMANI BESRA,Jharkhand Disom Party,5909
GOUR CHANDRA HEMBRAM,Independent,4876
SHIB SANKAR GHOSH,Jharkhand Vikas Morcha (Prajatantrik),3105
None of the Above,None of the Above,23682
