Candidate,Party,Votes
VINOD KUMAR BOINAPALLY,Telangana Rashtra Samithi,505783
PONNAM PRABHAKAR,Indian National Congress,300706
CHENNAMANENI VIDYA SAGAR RAO,Bharatiya Janata Party,214828
SHAIK MAHMOOD,Welfare Party Of India,39325
B. LAXMAN,Bahujan Samaj Party,11333
REDDI MALLA SRINIVAS,Republican Party of India (A),8040
MOHAMMED AMJAD MOHIUDDIN,Independent,6720
BURLA. RAVI,Nationalist Congress Party,4769
KANDEM PRABHAKAR,Independent,4731
L. PRABHAKAR REDDY,Pyramid Party of India,3944
SRINIVAS REDDY LINGAMPALLY,Independent,3865
DR.DHARMAIAH VENDAVETLA,Bahujan Mukti Party,3773
MEESALA RAJI REDDY,Yuvajana Sramika Rythu Congress Party,3080
MALLESH YADAV BARLA,Independent,2760
UPPULETI.LAXMAN,Independent,2448
RANAVENI LAKSHMAN,New India Party,2062
PULIKOTA RAMESH,Independent,1777
None of the Above,None of the Above,5747
