Candidate,Party,Votes
OM BIRLA,Bharatiya Janata Party,644822
IJYARAJ SINGH,Indian National Congress,444040
ASHOK KUMAR JAIN,Aam Aadmi Party,16981
ASHOK KUMAR,Bahujan Samaj Party,10862
AJMAT ALI,Bharatiya Yuva Shakti,7559
SHYAM SUNDER SHARMA,Independent,5091
MOHAN LAL MAHAWAR,Independent,4822
MAHENDRA KUMAR,Independent,2307
TEJPAL,Independent,1825
ASFAK ALI,Independent,1713
RAJESH KUMAR,Jai Maha Bharath Party,1168
MAHESH KUMAR RANIWAL,AARAKSHAN VIRODHI PARTY,1010
None of the Above,None of the Above,12760
