Candidate,Party,Votes
DR MAHENDRA NATH PANDEY,Bharatiya Janata Party,414135
ANIL KUMAR MAURYA,Bahujan Samaj Party,257379
RAMKISHUN,Samajwadi Party,204145
TARUN PATEL URF TARUNENDRA CHAND PATEL,Indian National Congress,27194
IRSHAD,Aam Aadmi Party,15598
DR. HARIDWAR SINGH YADAV,Janata Dal (United),8756
RAJENDRA,Pragatisheel Manav Samaj Party,7767
RAJA JAISWAL,All India Trinamool Congress,6170
SANJEEV SINGH,Suheldev Bhartiya Samaj Party,4993
HEERALAL,Bahujan Mukti Party,4768
RAJNARAYAN,Independent,4221
VINAI KUMAR SINGH,Indian National League,3882
SHASHI SINHA,Ex-Sainik Kissan Party,2988
BINDU,Independent,2769
JITENDRA,Gondvana Gantantra Party,2502
RAM DULAR,Communist Party of India (Marxist-Leninist) (Liberation),2386
SANJAY,Independent,2148
GULAVAS,Independent,1482
RAMASHANKER SINGH MAURYA,Bhartiya Samajik Kranti Dal,1423
CHANCHAL,Janta Raj Party,1362
MRITUNJAYA PANDEY,Jan Raksha Party,1318
None of the Above,None of the Above,3186
