Candidate,Party,Votes
THAMBIDURAI M.,All India Anna Dravida Munnetra Kazhagam,540722
CHINNASAMY M.,Dravida Munnetra Kazhagam,345475
KRISHNAN N.S.,Desiya Murpokku Dravida Kazhagam,76560
JOTHIMANI S.,Indian National Congress,30459
MARUTHAIVEERAN V.,Bahujan Samaj Party,5694
BALASUBRAMANIAN G.,Independent,4486
PRAKASH N.,Independent,4280
CHINNASAMY M.,Independent,3719
SELVARAJ S.,Independent,3552
VALAIYAPATHI R.,Aam Aadmi Party,2440
CHINNASAMY V.,Independent,2108
KANNAN P.,Independent,1436
GOWRIMANI S.,Independent,1433
THAMILALAGAN A.,Independent,1387
MANEESHANKAR M.G.,Rashtriya Samaj Paksha,1276
MAHENDRAN T.,Independent,1024
VIGNESHWARAN M.,Independent,981
MURUGESAN M.,Samajwadi Party,848
VIJAY J.,Independent,847
MANICKAVASAGAM A.,Independent,831
SARASWATHY K.,Communist Party of India (Marxist-Leninist) Red Star,813
RAVI S.P.,Independent,732
KANNAN S.,Independent,668
RAVICHANDRAN V.,Ulzaipali Makkal Katchy,563
MURUGAAN N.,Independent,437
None of the Above,None of the Above,13763
