Candidate,Party,Votes
SARBANANDA SONOWAL,Bharatiya Janata Party,612543
RANEE NARAH,Indian National Congress,320405
HARI PRASAD DIHINGIA,Asom Gana Parishad,81753
MAMUN IMDADUL HAQUE CHAWDHURY,All India United Democratic Front,37343
DHEBOR GOHAIN BORUAH,All India Trinamool Congress,9095
HEM KANTA MIRI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),6896
RANJIT SINGH GORH,Independent,6335
HRISHIKESH BARUAH,Independent,6013
DAVID HORO,Independent,5903
TANISH ORANG,Communist Party of India (Marxist-Leninist) (Liberation),4721
KHAIRUL ISLAM,Independent,4119
DR. HIRAMONI DEKA SONOWAL,Aam Aadmi Party,2893
KESHAB GOGOI,Independent,2752
None of the Above,None of the Above,11204
