Candidate,Party,Votes
RADHESHYAM BISWAS,All India United Democratic Front,362866
KRISHNA DAS,Bharatiya Janata Party,260772
LALIT MOHON SUKLABAIDYA,Indian National Congress,226562
RABINDRA NATH CHOUDHURY,Asom Gana Parishad,5556
TARUN KUMAR DAS,Aam Aadmi Party,3658
SUJIT MALLICK,Independent,3437
PROBASH CH. SARKAR,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),3114
SAJALENDU MALAKAR,Independent,2465
GOUTAM MALAKAR,Independent,2447
PRADIP SUKLABAIDYA,Independent,2392
RINKU MALAKAR,Samajwadi Party,2275
SABUJ DAS,Independent,1974
SANJIT KUMAR DAS,Independent,1880
PINTU MALAKAR,Independent,1664
MAHANANDA DAS,Independent,1592
None of the Above,None of the Above,4266
