Candidate,Party,Votes
DR. K.C.PATEL,Bharatiya Janata Party,617772
KISHANBHAI VESTABHAI PATEL,Indian National Congress,409768
THAKRIYA RATILAL VAJIRBHAI,Bahujan Samaj Party,14202
PATEL BUDHABHAI RANCHHODBHAI,Independent,12757
GAURANGBHAI RAMESHBHAI PATEL,Hindustan Janta Party,11372
VADIA LAXMANBHAI CHHAGANBHAI,Communist Party of India (Marxist-Leninist) (Liberation),9702
PATEL GOVINDBHAI RANCHHODBHAI,Aam Aadmi Party,8047
DR.PANKAJKUMAR PARBHUBHAI PATEL,Aadivasi Sena Party,6028
PATEL SHAILESHBHAI GANDABHAI,Janata Dal (United),2982
TALAVIYA BABUBHAI CHHAGANBHAI,Bahujan Mukti Party,2967
None of the Above,None of the Above,26606
