Candidate,Party,Votes
ARPITA GHOSH,All India Trinamool Congress,409641
BIMALENDU SARKAR (BIMAL),Revolutionary Socialist Party,302677
BISWAPRIYA ROY CHOUDHURY,Bharatiya Janata Party,223014
OM PRAKAS MISHRA,Indian National Congress,80715
ABDUS SADEK SARKAR,All India United Democratic Front,10547
SIBEN SARKAR,Independent,5647
SOM HEMRAM,Jharkhand Disom Party,4774
RAJEN HANSDA,Bahujan Samaj Party,4581
SASTI CHANDRA SARKAR,Rashtriya Janadhikar Suraksha Party,3969
ISLAM NURAL,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2644
RANENDRANATH MALI,Bahujan Mukti Party,1687
MANAS CHAKRABORTY (GANESH),Communist Party of India (Marxist-Leninist) Red Star,1466
None of the Above,None of the Above,11691
