Candidate,Party,Votes
SANTOSH KUMAR,Janata Dal (United),418826
UDAY SINGH ALIAS PAPPU SINGH,Bharatiya Janata Party,302157
AMARNATH TIWARI,Indian National Congress,124344
MD SHAMSHER ALAM,Jharkhand Mukti Morcha,50446
NAVLESH PATHAK,Independent,18776
SUDEEP ROY,Aam Aadmi Party,16630
RAJ KUMAR ORAON,Bahujan Samaj Party,11196
SANJAY SINGH,Independent,9196
ANIL KUMAR MAHTO,Janvadi Party(Socialist),9162
KUNJ BIHARI PASWAN,Independent,8321
PANKAJ KUMAR SINGH,Communist Party of India (Marxist-Leninist) (Liberation),7912
SYED SHAH EQBAL ALAM,Bhartiya Ekta Manch Party,6324
MD AKHTAR ALI,Independent,5849
MD SHAHID AKHTAR,Bahujan Mukti Party,5137
PRAMOD NARAYAN PODDAR,Bhartiya Jantantrik Janata Dal,4664
FAGU MARANDI,Jharkhand Disom Party,3440
MANSUR ALAM,Samajwadi Party,3370
None of the Above,None of the Above,11982
