Candidate,Party,Votes
BALABHADRA MAJHI,Biju Janata Dal,373887
PRADEEP KUMAR MAJHI,Indian National Congress,371845
PARSURAM MAJHI,Bharatiya Janata Party,138430
GOPINATH JANI,Bahujan Samaj Party,31707
ARJUNA BHATARA,Odisha Jan Morcha,24832
GOPAL PUJARI,Aama Odisha Party,18675
CHANDRADHWAJA MAJHI,Independent,18388
None of the Above,None of the Above,44408
