Candidate,Party,Votes
ADITYANATH,Bharatiya Janata Party,539127
RAJMATI NISHAD,Samajwadi Party,226344
RAM BHUAL NISHAD,Bahujan Samaj Party,176412
ASTBHUJA PRASAD TRIPATHI,Indian National Congress,45719
RADHE MOHAN MISRA,Aam Aadmi Party,11873
ACHHE LAL GUPTA,Independent,5339
FAIZ AHAMAD FAIZI,Peace Party,5046
RAMKISHUN,Independent,4387
ASHOK,Independent,4194
MUNNA,Swarajya Party Of India,4024
INDRA DEO YADAVA,Bhartiya Shakti Chetna Party,2398
SUBASH KUMAR MAURYA,Rashtriya Janwadi Party (Krantikari),2123
MOHD. WASEEM KHAN,Bahujan Mukti Party,2016
RAJESH,Communist Party of India (Marxist-Leninist) (Liberation),1873
RAJIT MISHRA,Naitik Party,1171
None of the Above,None of the Above,8153
