Candidate,Party,Votes
UDHAYA KUMAR .M,All India Anna Dravida Munnetra Kazhagam,510462
GANDHIRAJAN S,Dravida Munnetra Kazhagam,382617
KRISHNAMOORTHY A,Desiya Murpokku Dravida Kazhagam,93794
CHITTHAN N.S.V,Indian National Congress,35632
PANDI.N,Communist Party of India (Marxist),19455
RAJENDHRAN. R,Independent,7580
MANIVANNAN N,Independent,5859
VENKATESAN G,Independent,3588
ELANCHEZHIAN.S,Aam Aadmi Party,3395
PAULDURAI V K,Independent,2604
BAGATSINGH PALANICHAMY M,Bahujan Samaj Party,1903
CHANDRAMOHAN P,Independent,1261
NAGARAJAN V,Independent,1202
DHANDAPANI.K,Independent,863
THANGAPANDIAN.R,Independent,786
KUPPURAJ C,Independent,627
SUDHARSHNAR.K,Independent,592
BALASUBRAMANI.R,Ulzaipali Makkal Katchy,553
None of the Above,None of the Above,10591
