Candidate,Party,Votes
PINAKI MISRA,Biju Janata Dal,523161
SUCHARITA MOHANTY,Indian National Congress,259800
ASHOK SAHU,Bharatiya Janata Party,215763
SABYASACHI MOHAPATRA,Kalinga Sena,13190
BHASKAR CHANDRA MOHANTY,Bahujan Samaj Party,7094
ASHOK PRADHAN,Communist Party of India (Marxist-Leninist) (Liberation),6969
NIRAD BARAN KHUNTIA,Aam Aadmi Party,4262
None of the Above,None of the Above,9150
