Candidate,Party,Votes
DALPAT SINGH PARASTE,Bharatiya Janata Party,525419
RAJES NANDINI SINGH,Indian National Congress,284118
PARMESHWAR SINGH,Communist Party of India,27619
RAMRATAN SINGH PAWLEY,Gondvana Gantantra Party,20834
ER. VIJAY KUMAR KOL,Aam Aadmi Party,20312
PHOOL SINGH PARASTE,Bahujan Samaj Party,19409
LALA KOL,Independent,8288
MAHAVEER PARSHAD MANJHI,Independent,7507
JOGENDRA SINGH,Bahujan Mukti Party,7151
RAJU BAIGA,Independent,6647
YOGESH KUMAR SINGH AD.,Samajwadi Party,5580
RAM GOPAL SINGH,Bhartiya Shakti Chetna Party,5320
SAHDEV SINGH PARASTE,National Peoples Party,5089
RAM SINGH,Chhattisgarh Swabhiman Manch,3849
None of the Above,None of the Above,21376
