Candidate,Party,Votes
RAVINDRA KR. RAY,Bharatiya Janata Party,365410
RAJKUMAR YADAV,Communist Party of India (Marxist-Leninist) (Liberation),266756
PRANAV KUMAR VERMA,Jharkhand Vikas Morcha (Prajatantrik),160638
TILAKDHARI PD SINGH,Indian National Congress,60330
NAJRUL HASSAN HASHMI,AJSU Party,25522
KANCHAN KUMARI,Independent,20669
KRISHNA SINGH,Janata Dal (United),18727
MANJU KUMARI,All India Trinamool Congress,12785
BISHESHWAR PRASAD,Bahujan Samaj Party,12459
VIJAY KUMAR CHOURASIYA,Aam Aadmi Party,11880
SHIVANATH SAV,Independent,11117
JAIDEO CHAUDHARY,Samajwadi Party,7838
RAGHUNANDAN PRASAD VISHWAKARMA,All India Forward Bloc,6992
DR. SURAJ MANDAL,Jharkhand Vikas Dal,6966
RAMESHWAR PRASAD YADAV,Independent,6334
MAHENDRA RAVIDAS,Bahujan Mukti Party,6141
PHALJIT MAHTO,Independent,5996
YOGENDRA RAM,Akhil Bharatiya Jan Sangh,4516
MD. JALIL ANSARI,National Loktantrik Party,4245
MANOJ KUMAR,Independent,2873
None of the Above,None of the Above,6712
