Candidate,Party,Votes
SUMITRA MAHAJAN (TAI),Bharatiya Janata Party,854972
SATYANARAYAN PATEL,Indian National Congress,388071
ANIL TRIVEDI,Aam Aadmi Party,35169
DHARAMDAS AHIRWAR,Bahujan Samaj Party,7422
MOHAMMAD IMTIYAZ KHAN,Independent,3862
RAMCHANDRA VASAINI (RAMA SETH),Independent,3725
RAKESH KUMAR PATEL,Independent,2528
PRAVEEN KUMAR AJMERA JAIN,Independent,1867
PARMANAND TOLANI,Independent,1768
DR. NEHA SHARMA,Samajwadi Party,1619
MOMD.TANVEER,Independent,1576
RAVI SIRWAIYA,Independent,1356
P.T. JAGDISH CHANDRA BHATT,Jai Maha Bharath Party,1352
JAMEELA BI,Independent,981
SHAKTI SUDHA SHARMA,Independent,740
SYED NIZAM AHMED,Independent,740
GHANSHYAM CHANDEL,Independent,598
MAMTA BHATI,Rashtriya Ahinsa Manch,579
AJEET KUMAR JAIN PATWA (DHARTI PAKAD),Independent,554
SANTOSH KUMAR DEEN BANDHU,Independent,517
RAMCHANDR PARMAR,Bahujan Mukti Party,477
HARISH SAHU,Samata Samadhan Party,400
None of the Above,None of the Above,5944
