Candidate,Party,Votes
SHATRUGHANA SINHA,Bharatiya Janata Party,485905
KUNAL SINGH,Indian National Congress,220100
DR.GOPAL PRASAD SINHA,Janata Dal (United),91024
PARVEEN AMANULLAH,Aam Aadmi Party,16381
UMESH KUMAR,Samajwadi Party,10836
GANESH SAW,Bahujan Samaj Party,9691
GANGA VISHNU PRASAD,Independent,8834
NAND KISHORE SINGH,Independent,6057
SHREEKANT LABH,Samajwadi Janata Party (Rashtriya),3178
CHANDRA BHUSHAN PRASAD CHANDRAVANSHI,Bahujan Mukti Party,3015
KUMAR RAJIV,Independent,2914
DR. RAKESH DUTTA MISHRA,Bharatiya Jan Kranti Dal (Democratic),2687
LAL BAHADUR SINGH PATEL,Krantikari Vikas Dal,2502
ANIL KUMAR,Independent,2478
GAJENDRA KUMAR,Sankhyanupati Bhagidari Party,2166
PARWEZ AHMAD,Loktantrik Janata Party (Secular),1856
JAUHAR AZAD,Janta Dal Rashtravadi,1834
SHYAM NANDAN PRASAD,Independent,1834
VIJAY KUMAR SAHNI,Independent,1243
None of the Above,None of the Above,7727
