Candidate,Party,Votes
MUDDAHANUMEGOWDA.S.P.,Indian National Congress,429868
G.S.BASAVARAJ,Bharatiya Janata Party,355827
A.KRISHNAPPA,Janata Dal (Secular),258683
CHINNAPPA.V,Communist Party of India,10448
A.S.D'SILVA,Aam Aadmi Party,8322
S.B.HANUMANTHARAYAPPA,Independent,6301
NILUFAR JAMANI AHMED,Bahujan Samaj Party,4732
B.VENKATESHA,Karunaadu Party,2390
K.V.SRINIVAS KALKERE,Independent,2195
SHIVAKUMAR,Independent,1674
BRAHMANANDA REDDY,Independent,1672
H.L.MOHAN KUMAR,Hindustan Janta Party,1528
L.P.YADUNANDANA,Independent,1508
ANWAR,Independent,1245
G.NAGENDRA,Independent,1094
GOVINDARJU.G,Independent,1063
None of the Above,None of the Above,12934
