Candidate,Party,Votes
DASRATH TIRKEY,All India Trinamool Congress,362453
MANOHAR TIRKEY,Revolutionary Socialist Party,341056
BIRENDRA BARA (ORAON),Bharatiya Janata Party,335857
JOSEPH MUNDA,Indian National Congress,116718
ELIASH NARJINARY,Bahujan Samaj Party,11039
PAUL DEXION KHARIYA,Independent,10450
DR. KAPIN CH. BORO,Independent,7676
SUBASH CHIK BARAIK,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),7131
ISHABELA KUJUR,Rashtriya Janadhikar Suraksha Party,5961
BILKAN BARA,Samajwadi Jan Parishad,5340
None of the Above,None of the Above,19885
