Candidate,Party,Votes
SELVAKUMARA CHINNAYAN S,All India Anna Dravida Munnetra Kazhagam,466995
GANESHAMURTHI.A,Marumalarchi Dravida Munnetra Kazhagam,255432
PAVITHRAVALLI H,Dravida Munnetra Kazhagam,217260
GOPI P,Indian National Congress,26726
VIJAYAKUMAR S,Independent,7478
SETHUPATHY,Bahujan Samaj Party,5917
KUMARASAMY K.K,Aam Aadmi Party,4654
RAJAGOPAL V,Independent,1969
MAYILSAMY K,Independent,1592
GUNASEKARAN T.K,United Communist Party of India,1298
MURUGESAN_S,Independent,1046
THANGARAJ V,Independent,818
DURAISAMY.A,Independent,610
PALANIAPPAN JOSIYAR C.M,Communist Party of India (Marxist-Leninist) Red Star,519
None of the Above,None of the Above,16268
