Candidate,Party,Votes
KUNWER SARVESH KUMAR,Bharatiya Janata Party,485224
DR S T HASAN,Samajwadi Party,397720
HAJI MOHD YAQOOB,Bahujan Samaj Party,160945
ENGINEER MOHAMMAD IRFAN,Peace Party,25840
BEGUM NOOR BANO URF MEHTAB,Indian National Congress,19732
SAURABH PRATAP SINGH,All India Trinamool Congress,5647
VIMAL KUMAR,Aam Aadmi Party,4469
HARIOM,Naya Daur Party,4097
NAFISUDDIN,Communist Party of India (Marxist),3180
AMIT KUMAR,Bahujan Mukti Party,3047
SANDEEP KUMAR,Sarva Samaj Kalyan Party,2971
SATISH CHANDRA SHARMA,Naitik Party,2267
TEAJ SINGH SAINI,Rashtriya Samanta Dal,1710
JAIPAL SINGH SAINI,Shivsena,1334
ROOPA CHANDRA SINGH,Independent,1282
RAJ KUMAR GUPTA,Independent,1278
KAMAR ALAM,Indian Bahujan Samajwadi Party,1059
MOHD ZAFAR IQBAL,Akhil Bharatiya Muslim League (Secular),956
None of the Above,None of the Above,5207
