Candidate,Party,Votes
DR. VIRENDRA KUMAR,Bharatiya Janata Party,422979
AHIRWAR DR. KAMLESH VERMA,Indian National Congress,214248
DR. AMBESH KUMARI AHIRWAR,Samajwadi Party,47497
AHIRWAR SEWAK RAM,Bahujan Samaj Party,23975
KHANGAR NEERAJ,Communist Party of India,15194
GIRDHARI LAL KORI,Independent,5219
RAMESH CHAND VERMA,Aam Aadmi Party,4992
LAKHAN LAL CHADHAR,Independent,4548
BHAGWAN DAS BANSHKAR,Independent,4400
CHATURBHUJ SNEHI,Independent,4035
SHEEL CHANDRA AHIRWAR,Independent,3855
AHIRWAR RAMCHARAN,Poorvanchal Rashtriya Congress,3094
GANESH KUMHAR,Independent,2230
None of the Above,None of the Above,10055
