Candidate,Party,Votes
DR.A .SAMPATH,Communist Party of India (Marxist),392478
ADV.BINDHU KRISHNA,Indian National Congress,323100
GIRIJA KUMARI.S,Bharatiya Janata Party,90528
SRI.M.K.MANOJ KUMAR,SOCIAL DEMOCRATIC PARTY OF INDIA,11225
ANIL KUMAR N S,Bahujan Samaj Party,8586
SRI. VAKKOM G AJITH,Shivsena,5511
SMT. PRIYA SUNIL,Welfare Party Of India,4862
SRI. HARIHARAN K S,Independent,4064
SUNILKRISHNAN,Independent,3850
DAS K VARKALA,Independent,2375
SRI.SAMBATH ANILKUMAR,Independent,2221
SRI.IRINCHAYAM SURESH,Independent,1052
SRI. ADV. CHIRAYINKEEZHU GOPINATHAN,Republican Party of India (A),736
SRI.SURESHKUMAR THONNAKKAL,Independent,647
SRI. VIVEKANANDAN,Independent,615
SRI .ADV.M. R.SARIN,Janata Dal (United),576
None of the Above,None of the Above,6924
