Candidate,Party,Votes
(DR.) SANJEEV KUMAR BALYAN,Bharatiya Janata Party,653391
KADIR RANA,Bahujan Samaj Party,252241
VIRENDER SINGH,Samajwadi Party,160810
PANKAJ AGARWAL,Indian National Congress,12937
RAJESH DEVI ALIAS RADHIKA BALIYAN,All India Trinamool Congress,4129
RAKESH,Independent,3482
PHOOL SINGH PAL,Independent,3431
ANIL KUMAR,Bahujan Mukti Party,2238
MOHAMMED YAMIN,Aam Aadmi Party,1931
SHANDAR GUFRAN,Independent,1864
GUFRAN AHMAD,Independent,1682
JAGBIR SINGH,Independent,845
NASEEM AHMAD ANSARI,Independent,750
ANKUR,Independent,723
MO. YAMIN,All India Ravidas Samata Party,543
LALIT CHAUHAN,Janata Dal (United),499
SHABNAM,Independent,487
MANGE RAM KASHYAP,Majdoor Kisan Union Party,362
CHATAR SINGH KASHYAP,Vanchit Jamat Party,350
None of the Above,None of the Above,4739
