Candidate,Party,Votes
INNOCENT,Independent,358440
P C CHACKO,Indian National Congress,344556
ADV. B. GOPALAKRISHNAN,Bharatiya Janata Party,92848
K M NOORDEEN,Aam Aadmi Party,35189
SHAFEER MUHAMMED,SOCIAL DEMOCRATIC PARTY OF INDIA,14386
K. AMBUJAKSHAN,Welfare Party Of India,12942
VINCENT,Independent,4596
JAISON PANIKULANGARA,Independent,2052
M G PURUSHOTHAMAN,Bahujan Samaj Party,1942
ABDUL KAREEM,Rashtriya Janata Dal,1376
EDAPPALLY BASHEER,Independent,1346
SAJI THURUTHIKUNNEL,Shivsena,1114
JAYAN KONIKARA,Communist Party of India (Marxist-Leninist) Red Star,932
T D BABURAJAN,Independent,900
ANNAMMA JOY,All India Trinamool Congress,862
None of the Above,None of the Above,10552
