Candidate,Party,Votes
RAMESWAR TELI,Bharatiya Janata Party,494364
PABAN SINGH GHATOWAR,Indian National Congress,309017
ANUP PHUKON,Asom Gana Parishad,45710
SUBHAS SEN,Communist Party of India (Marxist-Leninist) (Liberation),9374
NAVAJYOTI KALITA,All India Trinamool Congress,8582
CHENI RAM MORAN,All India Forward Bloc,7112
None of the Above,None of the Above,16809
