Candidate,Party,Votes
ANANTKUMAR HEGDE,Bharatiya Janata Party,546939
PRASHANT R DESHPANDE,Indian National Congress,406239
NAIK SANTHOSH,Bahujan Samaj Party,7404
ELIYAS KATI,Sarva Janata Party,6281
RAGHAVENDRA K. THANE,Aam Aadmi Party,6215
ASHOK SAHADEVAPPA CHALAVADI,Independent,4246
SADANAND DESHBHANDARI ANNAPPA,Independent,3565
BASAVARAJ DUNDAPPA HADAPAD,Rani Chennamma Party,2032
OLWIN MARIAN LOPIS,Bahujan Mukti Party,1840
None of the Above,None of the Above,16277
