Candidate,Party,Votes
JOSE K. MANI,Kerala Congress (M),424194
ADV.MATHEW T. THOMAS,Janata Dal (Secular),303595
ADV.NOBLE MATHEW,Independent,44357
ADV.ANIL AIKKARA,Aam Aadmi Party,26381
SREENI K. JACOB,Bahujan Samaj Party,6732
ROY ARACKAL,SOCIAL DEMOCRATIC PARTY OF INDIA,3513
N.K.BIJU,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2879
RATHEESH PERUMAL,Independent,2157
JAMES JOSEPH,Independent,1831
SASIKKUTTAN VAKATHANAM,Communist Party of India (Marxist-Leninist) Red Star,1048
PRAVEEN K. MOHAN,Independent,925
None of the Above,None of the Above,14024
