Candidate,Party,Votes
MALLIKARJUN KHARGE,Indian National Congress,507193
REVUNAIK BELAMAGI,Bharatiya Janata Party,432460
D.G. SAGAR,Janata Dal (Secular),15690
DANNI MAHADEV B.,Bahujan Samaj Party,11428
B.T.LALITHA NAIK,Aam Aadmi Party,9074
S.M. SHARMA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),4943
RAMU,Independent,4085
SHANKAR JADHAV,Bharatiya Peoples Party,2877
None of the Above,None of the Above,9888
