Candidate,Party,Votes
NITYANAND RAI,Bharatiya Janata Party,317352
ALOK KUMAR MEHTA,Rashtriya Janata Dal,256883
ASHWAMEDH DEVI,Janata Dal (United),119669
RAM DEO VERMA,Communist Party of India (Marxist),53044
DHARMENDRA SAHANI,Bahujan Samaj Party,15198
SHIVANI UMANI,Janta Dal Rashtravadi,12520
JITENDRA KUMAR RAI,Shivsena,11990
SURESH CHAUDHARI,Aam Aadmi Party,8917
VINDESHWARI SAHNI,Proutist Sarva Samaj,7969
MITHILESH KUMAR JHA,Jharkhand Mukti Morcha,7810
MADHURI,Bahujan Mukti Party,7661
PHOOL BABU SINGH,Communist Party of India (Marxist-Leninist) (Liberation),6967
KISHOR KUMAR,Rashtriya Lok Samta Party,5669
AMRENDRA KUMAR YADAV,Rashtriya Krantikari Samajwadi Party,5631
ARJUN KUMAR SAH,Independent,4201
PREM LATA DEVI,Jai Prakash Janata Dal,3152
MINTU PASWAN,Independent,3098
MD. TAHIR ARAMAN,Naya Daur Party,2536
PRITHIVINATH PRASAD,Mahamukti Dal,2482
None of the Above,None of the Above,6171
