Candidate,Party,Votes
MEKAPATI RAJAMOHAN REDDY,Yuvajana Sramika Rythu Congress Party,576396
ADALA PRABHAKARA REDDY,Telugu Desam,562918
NARAYANA REDDY VAKATI,Indian National Congress,22870
SYED HANEEF,Jai Samaikyandhra Party,5578
CHANDRA SEKHAR YADAV,Rajyadhikara Party,4112
PATTAPU RAVI,Bahujan Samaj Party,3299
CHEMIKALA TIRUPATI,Andhra Rastra Praja Samithi,1424
KOLATI GOPINATH,Pyramid Party of India,999
MALYADRI RAVULAKOLLU,Independent,875
MEDA MALLA REDDY,Independent,820
ANANDA RAO SOMPALLI,Independent,760
PANDHITI SUBBAIAH,Independent,736
MALLI VENKATESWARLU,Independent,686
NAVEEN SUKPALLI,Independent,626
None of the Above,None of the Above,5549
