Candidate,Party,Votes
KRISHAN PAL,Bharatiya Janata Party,652516
AVTAR SINGH BHADANA,Indian National Congress,185643
R K ANAND,Indian National Lok Dal,132472
PURSHOTAM DAGAR,Aam Aadmi Party,67437
PT. RAJENDER SHARMA,Bahujan Samaj Party,66000
HAMID KHAN,Hindustan Kranti Dal,2762
NANAK CHAND,Independent,2551
DR. KSHETRA PAL SINGH,Independent,1943
KHEME THAKUR,Samajwadi Party,1940
MOHD. MUKIM,National Loktantrik Party,1735
RAVINDER BHATI,Akhil Bharat Hindu Mahasabha,1689
SANJAY MAURYA,Independent,1098
SUKHVEER,Rashtriya Bahujan Congress Party,1082
ADVOCATE KAMAL CHAND ARYA,Bahujan Mukti Party,967
NIRMALA,Janata Dal (United),894
CHAUDHARY DAYA CHAND,Bhartiya Shakti Chetna Party,711
KHUSH DIL SEHGAL (KAPOOR),Akhil Bharatiya Hind Kranti Party,685
AHERWAN DHARMENDER RAWAT,Independent,664
LAXMAN,Independent,657
MANDHEER SINGH MAAN,Independent,644
KUSUM KUMARI,All India Peoples' Front (Radical),620
SHUSHILA,Independent,525
DEEPAK GAUR,AARAKSHAN VIRODHI PARTY,479
MUKESH KUMAR SINGH,Independent,442
LALIT MITTAL,Independent,420
RAJENDER,Independent,409
VIJAY RAJ,Independent,407
None of the Above,None of the Above,3334
