Candidate,Party,Votes
ARJUN RAM MEGHWAL,Bharatiya Janata Party,584932
ER. SHANKAR PANNU,Indian National Congress,276853
MANGILAL NAYAK,National Unionist Zamindara Party,16839
DR. GAURI SHANKER DAABI,Aam Aadmi Party,14148
BHANWAR LAL,Bahujan Samaj Party,11387
JAGDISH KUMAR NAYAK,Independent,5164
GOPAL BALMIKI,Independent,4398
RAM RATAN MEGHWAL,Bahujan Mukti Party,2538
None of the Above,None of the Above,13492
