Candidate,Party,Votes
DILEEPSINGH BHURIA,Bharatiya Janata Party,545970
KANTILAL BHURIA,Indian National Congress,437523
BABUSINGH,Bahujan Samaj Party,18485
BHERUSINGH DAMOR,Janata Dal (United),13116
MEENA ATUL DAVID,Independent,10980
BHADIYA DAWAR,Independent,6638
ENARI MACHAR,Aam Aadmi Party,6085
COMRADE LATA BHABOR,Communist Party of India (Marxist),6078
KAILASH VASUNIYA,Bahujan Mukti Party,3861
ILIYAS BHAI MACHAR,Minorities Democratic Party,3581
None of the Above,None of the Above,30364
