Candidate,Party,Votes
YELLAIAH NANDI,Indian National Congress,420075
DR. MANDA JAGANNATH,Telangana Rashtra Samithi,403399
BAKKANI NARSIMLU,Telugu Desam,183352
BUDDULA SRINIVAS,Independent,54680
MAREDU GOPAL,Yuvajana Sramika Rythu Congress Party,22985
BAHADHUR SRINIVAS,Bahujan Samaj Party,12089
None of the Above,None of the Above,12388
