Candidate,Party,Votes
GAJENDRASINGH SHEKHAWAT,Bharatiya Janata Party,713515
CHANDRESH KUMARI,Indian National Congress,303464
GOPARAM MEGHWAL,Bahujan Samaj Party,13511
VIGYAN MODI,Aam Aadmi Party,8552
DHANRAJ GEHLOT,Jai Maha Bharath Party,7104
RUGHA RAM CHOUDHARY ADVOCATE,Independent,4855
SOHAN LAL GOYAL,Independent,3764
MEHMOODA BEGAM ABBASI,Independent,2631
RAM DAYAL,Independent,2321
RAVI GARG,Bharat Nav Nirman Party,1206
DUNGAR MAL PUNIYA,Independent,1041
JETHARAM MEGHWAL,Independent,831
JAYDA,Independent,718
None of the Above,None of the Above,15085
