Candidate,Party,Votes
RATHOD DIPSINH SHANKARSINH,Bharatiya Janata Party,552205
SHANKERSINH VAGHELA BAPU,Indian National Congress,467750
BHAMBHI CHANDUBHAI MULCHANDBHAI,Bahujan Samaj Party,16665
SOLANKI CHHAGANBHAI KEVALABHAI,Independent,9795
PATEL BHOGILAL HARIBHAI,Bharatiya National Janta Dal,9046
VELANI SHANTILAL KARAMSHI,Independent,6816
BALUSINGH SOMANSINGH NARVE,Independent,3527
SHEKH ARIF KHAN,Samajwadi Party,2314
PATEL PURUSOTTAMBHAI AMBALAL,Independent,1876
PATEL ISHWARBHAI SAKRAJI,Independent,1674
None of the Above,None of the Above,22334
