Candidate,Party,Votes
MANOJ RAJORIA,Bharatiya Janata Party,402407
LAKKHIRAM,Indian National Congress,375191
G.R.BARUA,Bahujan Samaj Party,25150
RAM SINGH,National Peoples Party,9458
KAMAL SINGH,All India Trinamool Congress,7286
LAXMIKANT,Independent,4767
GHANSHYAM,Aam Aadmi Party,3726
KISHOR KUMAR,Independent,3376
KANCHAN BAI,Independent,3014
RAMESH,Bharatiya Yuva Shakti,1629
ASHOK KUMAR,Independent,1385
PHOOLSINGH,Jago Party,951
SHRELAL KHARE,Jai Maha Bharath Party,922
DHANRAJ BAIRWA,Socialist Party (India),745
None of the Above,None of the Above,5934
