Candidate,Party,Votes
HARISH CHANDRA MEENA,Bharatiya Janata Party,315059
DR. KIRODI LAL,National Peoples Party,269655
NAMONARAIN MEENA,Indian National Congress,181272
SHIV PAL GURJAR,Independent,82549
BIMLA DEVI MEENA,Independent,20037
ANJU DEVI DHANKA,Independent,16935
CHANDU LAL MEENA (GEROTA),Bahujan Samaj Party,15303
DR. NASEEM GURJAR,Independent,5792
KHEMRAJ MEENA,Bharatiya Yuva Shakti,4297
DR. SANJEET KUMAR DHANKA,Aam Aadmi Party,3202
ANJALI BHADANA,Independent,3072
SURAJ BHAN DHANKA,Samajwadi Party,2357
DHARMI GHUNAWAT,Indian Peoples Green Party,1635
RUKMANI MEENA JHAKHIWAL,Socialist Party (India),917
None of the Above,None of the Above,8410
