Candidate,Party,Votes
ASHWINI KUMAR,Bharatiya Janata Party,594817
ARVIND KUMAR SHARMA,Indian National Congress,234670
JASWINDER SINGH SANDHU,Indian National Lok Dal,187902
MARATHA VIRENDER VERMA,Bahujan Samaj Party,102628
PARAMJIT SINGH,Aam Aadmi Party,32060
MAM CHAND,Communist Party of India,10945
JAGDISH,Independent,3442
JAGBIR SINGH RANA,Independent,2775
MAHMOOD HASSAN,Independent,2723
PALE RAM KASHYAP,Rashtriya Janshakti Party(Eklavya),2654
RAJESH KUMAR,Independent,1937
KISMAT SHARMA,Independent,1757
SHASHI SAINI,Independent,1544
SAVITRI,Independent,1468
ASHISH,All India Forward Bloc,1314
MAHINDER PAL,Independent,1276
ARVIND TIWARI,Independent,1260
DULI CHAND,Lok Parivartan Party(DC),1144
RAMPHAL SHARMA,Independent,940
KHATAB SINGH MOR,Bhartiya Shakti Chetna Party,885
PURAN SINGH PANWAR,Rashtravadi Janata Party,865
DAVINDER SHARMA,Rashtriya Karmyog Party,806
DEVENDER JAGLAN,Republican Party of India (A),759
None of the Above,None of the Above,2929
