Candidate,Party,Votes
HEMENDRA CHANDRA SINGH,Biju Janata Dal,421458
HARIHAR KARAN,Indian National Congress,240441
SUKANTA KUMAR PANIGRAHI,Bharatiya Janata Party,108744
LAMBODAR KANHAR,Independent,20472
RAM NAYAK,Bahujan Samaj Party,11080
NARENDRA MOHANTY,Aam Aadmi Party,9522
BILASINI NAYAK,Aama Odisha Party,7741
BASANTA KUMAR PRADHAN,Independent,5798
None of the Above,None of the Above,14159
