Candidate,Party,Votes
ANSHUL VERMA,Bharatiya Janata Party,360501
SHIVE PRASAD VERMA,Bahujan Samaj Party,279158
USHA VERMA,Samajwadi Party,276543
SARVESH KUMAR,Indian National Congress,23298
SHIVEKUMAR,Independent,4737
SARVESH,Independent,4130
SUNIL BHARTI,Independent,4045
SAROJ KUMAR,Independent,3287
CHANDRAPAL,Bharatiya Republican Paksha,2003
HIRA LAL VERMA,Aam Aadmi Party,1670
RAMDAYAL,Peace Party,1576
RAMPAL,Independent,1326
SANTRAM,Bahujan Mukti Party,1296
RAMLAKHAN GAUTAM,Indian Savarn Samaj Party,834
SANJAY KUMAR,Bhartiya Krishak Dal,830
None of the Above,None of the Above,7660
