Candidate,Party,Votes
PATEL JAYSHREEBEN KANUBHAI,Bharatiya Janata Party,580250
PATEL JIVABHAI AMBALAL,Indian National Congress,371359
THAKOR KEVALJI NATHAJI,Bahujan Samaj Party,9766
MAHMAD AZAM HAIDERKHAN PATHAN,Independent,6139
PRAJAPATI VITTHALBHAI VIRDAS,Independent,5982
GIRISHJI JENAJI DABHI,Bharatiya National Janta Dal,4825
SMT VANDANABEN DINESHKUMAR PATEL,Aam Aadmi Party,3731
THAKOR SAMARATJI BALVANTSINH,Independent,2427
THAKOR BABUJI DHANAJI,Independent,1804
THAKOR BALDEVJI MAGANJI,Independent,1653
ZALA INDRAJITSINH MAHENDRASINH,Samajwadi Party,1340
THAKOR MANSANGJI PUNJAJI,Bahujan Mukti Party,1251
CHAUDHARY DINESHBHAI SALUBHAI,Vishva Hindustani Sangathan,1084
PATEL DILIPBHAI SOMABHAI,Hindustan Janta Party,1032
None of the Above,None of the Above,11615
