Candidate,Party,Votes
BALKA SUMAN,Telangana Rashtra Samithi,565496
G. VIVEKANAND,Indian National Congress,274338
DR.JANAPATI SARAT BABU,Telugu Desam,63334
VELTHURU MALLAIAH,Republican Paksha (Khoripa),45977
TAGARAM SHANKAR LAL,Bahujan Samaj Party,9449
KALVALA SHANKAR,Pyramid Party of India,9290
JINNA RAMADEVI,Independent,9199
KALVALA SANJEEV,Republican Party of India,8609
BUPELLI NARAYANA,Independent,7258
VENKATA SWAMY INJAM,Mahajana Socialist Party,3866
THALLAPALLI SRINIVAS,Independent,3699
GADDALA VINAY KUMAR,Independent,3266
J.V. RAJU,New India Party,3020
KAMILLA JAYA RAO,Independent,2742
MOUTAM RAVINDER,Independent,2674
GORRE RAMESH,Independent,2361
BOTHA VENKATA MALLAIAH,B. C. United Front,2245
None of the Above,None of the Above,5361
