Candidate,Party,Votes
B.N.CHANDRAPPA,Indian National Congress,467511
JANARDHANA SWAMY,Bharatiya Janata Party,366220
GULLIHATTY.D.SHEKHAR,Janata Dal (Secular),202108
MOHANA DASARI,Aam Aadmi Party,14226
T.D.RAJAGIRI,Bahujan Samaj Party,9441
T.SOMESH SHILPI,Independent,4511
M.KUMBAIAH,Janata Dal (United),3970
T.BHAVANA,Independent,3601
S. MEETYA NAIK,Samajwadi Party,3558
H.SIDDAGANGAPPA,Ambedkar National Congress,2951
GANESHA,Independent,2816
N.S.MANJUNATHA NERENAHAL,Independent,2702
BASAVANAGIDEVA SHARANARU,Independent,2171
T.DAYANANDA,Independent,1818
None of the Above,None of the Above,8895
