Candidate,Party,Votes
DR PANDULA RAVINDRA BABU,Telugu Desam,594547
PINIPE VISWARUPU,Yuvajana Sramika Rythu Congress Party,473971
AITHABATHULA JOGESWARA VENKATA BUTCHI MAHESWARA RAO,Indian National Congress,12182
G.V.HARSHA KUMAR,Jai Samaikyandhra Party,9931
GEDDAM SAMPADA RAO,Bahujan Samaj Party,7219
KUNCHE PEDASATYANARAYANA,Pyramid Party of India,4560
KONKI VENKATA RAO,Republican Paksha (Khoripa),3233
VIJAYA CHAKRAVARTHY PANTHAGADA,Republican Party of India (Khobragade),2867
VADDI WINSTON CHURCHILL,Independent,1684
YALANGI RAMESH,Independent,1171
KASI CHANDRAMOULI,Independent,1110
UNDRU GANI RAJU,Independent,862
BHASKARA RAO BUNGA,Independent,824
KOMMU SATYAVATHI,Independent,625
None of the Above,None of the Above,6141
