Candidate,Party,Votes
DR. RATNA DE (NAG),All India Trinamool Congress,614312
PRADIP SAHA,Communist Party of India (Marxist),425228
DR. CHANDAN MITRA,Bharatiya Janata Party,221271
PRITAM GHOSH,Indian National Congress,42226
SAJAL ADHIKARI,Communist Party of India (Marxist-Leninist) (Liberation),9152
PABAN MAZUMDER,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),7682
VIJAY KUMAR MAHATO,Bahujan Samaj Party,5519
SANGHAMITRA MUKHERJEE,Rashtriya Janasachetan Party (R.J.P.),3766
SHUKCHAND MURMU,Jharkhand Disom Party,3197
None of the Above,None of the Above,16517
