Candidate,Party,Votes
SUDIP BANDYOPADHYAY,All India Trinamool Congress,343687
RAHUL (BISWAJIT) SINHA,Bharatiya Janata Party,247461
BAGCHI RUPA,Communist Party of India (Marxist),196053
SOMENDRANATH MITRA,Indian National Congress,130783
SANJOY SAHA,Independent,4808
ALOK CHATURVEDI,Aam Aadmi Party,4399
DR. DEVENDRA PANDEY,Independent,4168
SAUMEN MITRA,Independent,3752
PHUL CHAND RAM,Bahujan Samaj Party,2127
KALI PADA JANA,Independent,1860
KAUSHIK BISWAS,Independent,1810
DEBAJYOTI SENGUPTA,Independent,1435
RATHINDRA NATH ROY,Independent,1149
MD. IBRAHIM KHAN,Indian Union Muslim League,749
TARUN MUKHERJEE,Rashtriya Janasachetan Party (R.J.P.),708
S.M. HABIBULLAH,Gareeb Aadmi Party,660
MITUL KUMAR SINGH,Rashtriya Ahinsa Manch,548
SUNIRMAL BASU,Independent,518
None of the Above,None of the Above,9103
