Candidate,Party,Votes
VENUGOPAL.P.(DR),All India Anna Dravida Munnetra Kazhagam,628499
RAVIKUMAR.D,Viduthalai Chiruthaigal Katchi,305069
YUVARAJ.V,Desiya Murpokku Dravida Kazhagam,204734
JAYAKUMAR.M,Indian National Congress,43960
KANNAN A.S,Communist Party of India,13794
SATHYAMURTHY.C,Bahujan Samaj Party,11137
BALAMURUGAN.B,Aam Aadmi Party,8260
VENUGOPAL.P,Independent,3085
RAVIKUMAR.M,Independent,2966
SRINIVASAN.D,Samajwadi Party,2642
VETRISELVAM.K,Independent,2441
CHANDRASEKARAN.M,Independent,1597
DOSS.R,Independent,1596
SURESH KUMAR.S,Independent,1062
None of the Above,None of the Above,23598
