Candidate,Party,Votes
DEVJI PATEL,Bharatiya Janata Party,580508
ANJANA UDAI LAL,Indian National Congress,199363
S. BUTA SINGH,Independent,175344
OTARAM,Bahujan Samaj Party,29998
SHANKAR LAL DARJI,Independent,16399
CHHAGANARAM / PRHALAD,Hindustan Janta Party,15811
MAHENDRA K. CHOUDHARY,Independent,13008
MOOLA RAM,Independent,10316
NARAYAN LAL,Independent,9875
MANARA RAM,Independent,6146
BHANWAR LAL WAGHELA,Independent,4817
CHHAGANARAM / BHALARAM,Bahujan Mukti Party,3960
NARINGA RAM YADAV,Independent,3200
RAN SINGH RAJPUROHIT,Jago Party,2731
TARUN KUMAR,Independent,2596
SUKH DEV,awami aamjan party,2017
None of the Above,None of the Above,11183
